method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
magnetic,0.388,0.83,0.773,0.677,0.54,0.926,0.074,0.926,0.376,0.323,0.539,0.901,0.148,0.0,0.45,0.175,0.074,0.624,isomap,reuters,1,neighborhood_hit
magnetic_on_rescale,0.388,0.83,0.775,0.677,0.539,0.926,0.074,0.926,0.376,0.323,0.542,0.901,0.149,0.0,0.45,0.175,0.074,0.624,isomap,reuters,1,neighborhood_hit
delaunay,0.372,0.837,0.789,0.68,0.547,0.995,0.005,0.995,0.394,0.32,0.616,0.887,0.149,0.0,0.413,0.152,0.005,0.606,isomap,reuters,1,neighborhood_hit
projnn,0.273,0.877,0.895,0.753,0.507,0.944,0.056,0.944,0.277,0.247,0.763,0.808,0.205,0.0,0.19,0.196,0.056,0.723,isomap,reuters,1,neighborhood_hit
truenn,0.378,0.931,0.823,0.888,0.586,0.945,0.055,0.945,0.344,0.112,0.681,0.876,0.05,0.0,0.297,0.028,0.055,0.656,isomap,reuters,1,neighborhood_hit
rescaled,0.221,0.927,0.967,0.89,0.571,0.832,0.098,0.832,0.084,0.096,0.734,0.828,0.274,0.995,0.452,0.39,0.168,0.916,mds,har,51,neighborhood_hit
magnetic,0.192,0.798,0.811,0.746,0.49,0.935,0.035,0.935,0.231,0.241,0.513,0.841,0.271,0.995,0.434,0.257,0.065,0.752,mds,har,51,neighborhood_hit
magnetic_on_rescale,0.192,0.798,0.812,0.746,0.49,0.935,0.035,0.935,0.231,0.241,0.513,0.841,0.271,0.995,0.434,0.257,0.065,0.752,mds,har,51,neighborhood_hit
delaunay,0.179,0.785,0.738,0.731,0.496,0.961,0.021,0.961,0.32,0.26,0.429,0.843,0.27,0.995,0.428,0.258,0.039,0.678,mds,har,51,neighborhood_hit
projnn,0.137,0.892,0.95,0.857,0.711,0.893,0.059,0.893,0.11,0.134,0.693,0.834,0.473,0.996,0.218,0.48,0.107,0.887,mds,har,51,neighborhood_hit
truenn,0.1,0.946,0.958,0.92,0.743,0.855,0.081,0.855,0.103,0.064,0.733,0.856,0.538,0.998,0.198,0.546,0.145,0.894,mds,har,51,neighborhood_hit
rescaled,0.262,0.972,0.989,0.957,0.464,0.79,0.128,0.79,0.019,0.04,0.659,0.971,0.451,0.975,0.325,0.47,0.21,0.98,isomap,fashionmnist,7,neighborhood_hit
magnetic,0.264,0.913,0.811,0.882,0.413,0.972,0.016,0.972,0.219,0.115,0.351,0.972,0.435,0.975,0.305,0.445,0.028,0.78,isomap,fashionmnist,7,neighborhood_hit
magnetic_on_rescale,0.264,0.925,0.843,0.897,0.434,0.967,0.019,0.967,0.186,0.1,0.382,0.972,0.44,0.977,0.311,0.456,0.033,0.814,isomap,fashionmnist,7,neighborhood_hit
delaunay,0.19,0.969,0.952,0.956,0.529,0.924,0.043,0.924,0.068,0.041,0.542,0.947,0.587,0.988,0.142,0.584,0.076,0.932,isomap,fashionmnist,7,neighborhood_hit
projnn,0.129,0.976,0.985,0.965,0.496,0.83,0.102,0.83,0.024,0.033,0.632,0.92,0.653,0.986,0.11,0.642,0.17,0.975,isomap,fashionmnist,7,neighborhood_hit
truenn,0.179,0.987,0.957,0.981,0.61,0.908,0.053,0.908,0.064,0.018,0.564,0.945,0.671,0.996,0.121,0.671,0.092,0.936,isomap,fashionmnist,7,neighborhood_hit
rescaled,0.209,0.973,0.993,0.97,0.764,0.908,0.092,0.908,0.016,0.03,0.867,0.885,0.395,0.0,0.292,0.398,0.092,0.984,isomap,usps,1,neighborhood_hit
magnetic,0.214,0.945,0.939,0.94,0.717,0.981,0.019,0.981,0.102,0.06,0.697,0.893,0.393,0.0,0.286,0.399,0.019,0.898,isomap,usps,1,neighborhood_hit
magnetic_on_rescale,0.214,0.945,0.939,0.94,0.717,0.982,0.018,0.982,0.102,0.059,0.698,0.893,0.393,0.0,0.286,0.399,0.018,0.898,isomap,usps,1,neighborhood_hit
delaunay,0.203,0.968,0.957,0.964,0.736,0.981,0.019,0.981,0.077,0.036,0.749,0.885,0.477,0.0,0.217,0.495,0.019,0.923,isomap,usps,1,neighborhood_hit
projnn,0.155,0.97,0.971,0.967,0.698,0.932,0.068,0.932,0.04,0.033,0.804,0.854,0.471,0.0,0.155,0.457,0.068,0.96,isomap,usps,1,neighborhood_hit
truenn,0.172,0.98,0.925,0.979,0.748,0.978,0.022,0.978,0.121,0.021,0.724,0.878,0.484,0.0,0.164,0.476,0.022,0.879,isomap,usps,1,neighborhood_hit
rescaled,0.429,0.857,0.763,0.73,0.264,0.945,0.033,0.945,0.374,0.245,0.615,0.996,-0.081,0.883,0.953,-0.37,0.055,0.617,tsne,reuters,7,neighborhood_hit
magnetic,0.427,0.674,0.645,0.529,0.256,0.985,0.008,0.985,0.475,0.456,0.357,0.979,-0.04,0.954,0.467,-0.044,0.015,0.515,tsne,reuters,7,neighborhood_hit
magnetic_on_rescale,0.427,0.68,0.649,0.526,0.243,0.985,0.008,0.985,0.476,0.458,0.363,0.981,-0.045,0.949,0.516,-0.058,0.015,0.515,tsne,reuters,7,neighborhood_hit
delaunay,0.425,0.687,0.638,0.543,0.325,0.997,0.002,0.997,0.489,0.455,0.348,0.973,-0.026,0.94,0.498,-0.025,0.003,0.512,tsne,reuters,7,neighborhood_hit
projnn,0.281,0.8,0.692,0.686,0.457,0.982,0.01,0.982,0.435,0.31,0.488,0.821,0.02,0.873,0.199,-0.013,0.018,0.564,tsne,reuters,7,neighborhood_hit
truenn,0.396,0.922,0.719,0.862,0.552,0.978,0.013,0.978,0.42,0.135,0.543,0.918,-0.066,0.988,0.292,-0.117,0.022,0.58,tsne,reuters,7,neighborhood_hit
rescaled,0.05,0.917,0.921,0.891,0.541,0.822,0.127,0.822,0.227,0.086,0.761,0.877,0.352,0.981,0.815,0.554,0.178,0.758,tsne,spambase,21,neighborhood_hit
magnetic,0.071,0.706,0.785,0.626,0.576,0.944,0.045,0.944,0.423,0.338,0.581,0.519,0.096,0.956,0.437,0.068,0.056,0.562,tsne,spambase,21,neighborhood_hit
magnetic_on_rescale,0.048,0.681,0.786,0.602,0.576,0.942,0.047,0.942,0.421,0.377,0.572,0.829,0.331,0.977,0.666,0.299,0.058,0.565,tsne,spambase,21,neighborhood_hit
delaunay,0.044,0.761,0.851,0.698,0.727,0.975,0.015,0.975,0.403,0.293,0.666,0.713,0.385,0.982,0.491,0.278,0.025,0.597,tsne,spambase,21,neighborhood_hit
projnn,0.097,0.847,0.904,0.798,0.785,0.937,0.038,0.937,0.295,0.179,0.735,0.311,0.269,0.961,0.273,0.27,0.063,0.689,tsne,spambase,21,neighborhood_hit
truenn,0.084,0.894,0.903,0.861,0.801,0.923,0.044,0.923,0.305,0.106,0.742,0.339,0.294,0.973,0.271,0.28,0.077,0.687,tsne,spambase,21,neighborhood_hit
rescaled,0.245,0.929,0.959,0.898,0.476,0.726,0.165,0.726,0.055,0.083,0.734,0.873,0.092,0.958,0.512,0.143,0.274,0.929,mds,usps,51,neighborhood_hit
magnetic,0.227,0.755,0.665,0.708,0.242,0.956,0.024,0.956,0.367,0.281,0.256,0.866,0.087,0.983,0.411,0.09,0.044,0.629,mds,usps,51,neighborhood_hit
magnetic_on_rescale,0.231,0.88,0.812,0.845,0.399,0.882,0.068,0.882,0.223,0.142,0.432,0.882,0.091,0.973,0.5,0.131,0.118,0.778,mds,usps,51,neighborhood_hit
delaunay,0.227,0.928,0.904,0.899,0.51,0.803,0.114,0.803,0.133,0.086,0.617,0.873,0.219,0.978,0.339,0.301,0.197,0.862,mds,usps,51,neighborhood_hit
projnn,0.186,0.939,0.942,0.913,0.606,0.744,0.155,0.744,0.074,0.073,0.696,0.846,0.345,0.971,0.205,0.331,0.256,0.902,mds,usps,51,neighborhood_hit
truenn,0.18,0.956,0.883,0.933,0.624,0.795,0.12,0.795,0.152,0.049,0.603,0.874,0.372,0.982,0.204,0.351,0.205,0.843,mds,usps,51,neighborhood_hit
rescaled,0.137,0.968,0.991,0.964,0.57,0.819,0.114,0.819,0.027,0.033,0.834,0.796,0.831,0.974,0.167,0.824,0.181,0.972,tsne,har,7,neighborhood_hit
magnetic,0.108,0.908,0.913,0.898,0.568,0.962,0.023,0.962,0.135,0.098,0.57,0.814,0.831,0.979,0.158,0.814,0.038,0.865,tsne,har,7,neighborhood_hit
magnetic_on_rescale,0.108,0.908,0.913,0.899,0.567,0.962,0.023,0.962,0.135,0.098,0.57,0.814,0.831,0.979,0.158,0.814,0.038,0.865,tsne,har,7,neighborhood_hit
delaunay,0.082,0.963,0.973,0.959,0.728,0.924,0.044,0.924,0.07,0.038,0.757,0.833,0.822,0.987,0.112,0.815,0.076,0.93,tsne,har,7,neighborhood_hit
projnn,0.108,0.974,0.985,0.97,0.736,0.854,0.089,0.854,0.035,0.027,0.809,0.82,0.773,0.983,0.089,0.795,0.146,0.963,tsne,har,7,neighborhood_hit
truenn,0.101,0.986,0.978,0.984,0.784,0.871,0.078,0.871,0.058,0.016,0.803,0.837,0.827,0.995,0.078,0.843,0.129,0.941,tsne,har,7,neighborhood_hit
rescaled,0.31,0.838,0.874,0.764,0.384,0.893,0.107,0.893,0.279,0.236,0.743,0.795,0.208,0.0,0.197,0.204,0.107,0.72,mds,reuters,1,neighborhood_hit
magnetic,0.322,0.835,0.821,0.761,0.382,0.924,0.076,0.924,0.347,0.239,0.669,0.813,0.21,0.0,0.196,0.206,0.076,0.653,mds,reuters,1,neighborhood_hit
magnetic_on_rescale,0.322,0.835,0.821,0.761,0.382,0.924,0.076,0.924,0.347,0.239,0.669,0.813,0.21,0.0,0.196,0.206,0.076,0.653,mds,reuters,1,neighborhood_hit
delaunay,0.239,0.824,0.838,0.739,0.382,0.959,0.041,0.959,0.318,0.261,0.692,0.767,0.182,0.0,0.177,0.168,0.041,0.682,mds,reuters,1,neighborhood_hit
projnn,0.25,0.827,0.861,0.744,0.385,0.924,0.076,0.924,0.296,0.255,0.719,0.767,0.187,0.0,0.176,0.174,0.076,0.704,mds,reuters,1,neighborhood_hit
truenn,0.388,0.898,0.734,0.851,0.34,0.942,0.058,0.942,0.389,0.149,0.517,0.911,-0.125,0.0,0.379,-0.111,0.058,0.611,mds,reuters,1,neighborhood_hit
rescaled,0.291,0.92,0.924,0.853,0.418,0.719,0.174,0.719,0.071,0.119,0.63,0.916,0.225,0.973,0.324,0.224,0.281,0.894,umap,mnist,51,neighborhood_hit
magnetic,0.304,0.897,0.778,0.828,0.384,0.891,0.061,0.891,0.262,0.149,0.393,0.922,0.221,0.979,0.308,0.216,0.109,0.734,umap,mnist,51,neighborhood_hit
magnetic_on_rescale,0.306,0.905,0.815,0.836,0.406,0.867,0.076,0.867,0.222,0.139,0.449,0.923,0.225,0.978,0.316,0.223,0.133,0.771,umap,mnist,51,neighborhood_hit
delaunay,0.287,0.931,0.903,0.871,0.557,0.78,0.129,0.78,0.125,0.106,0.582,0.924,0.323,0.984,0.207,0.308,0.22,0.863,umap,mnist,51,neighborhood_hit
projnn,0.238,0.939,0.927,0.882,0.568,0.74,0.157,0.74,0.083,0.096,0.621,0.905,0.338,0.978,0.17,0.309,0.26,0.893,umap,mnist,51,neighborhood_hit
truenn,0.334,0.946,0.849,0.897,0.508,0.826,0.101,0.826,0.191,0.075,0.528,0.939,0.408,0.989,0.227,0.403,0.174,0.805,umap,mnist,51,neighborhood_hit
rescaled,0.261,0.978,0.987,0.963,0.588,0.701,0.184,0.701,0.022,0.032,0.629,0.975,0.472,0.981,0.353,0.601,0.299,0.977,isomap,fashionmnist,21,neighborhood_hit
magnetic,0.251,0.724,0.594,0.603,0.213,0.987,0.007,0.987,0.429,0.391,0.154,0.971,0.204,0.985,0.255,0.191,0.013,0.57,isomap,fashionmnist,21,neighborhood_hit
magnetic_on_rescale,0.263,0.923,0.879,0.884,0.473,0.924,0.044,0.924,0.147,0.113,0.397,0.976,0.449,0.988,0.337,0.567,0.076,0.853,isomap,fashionmnist,21,neighborhood_hit
delaunay,0.177,0.972,0.943,0.956,0.553,0.857,0.082,0.857,0.074,0.04,0.504,0.944,0.657,0.991,0.116,0.671,0.143,0.925,isomap,fashionmnist,21,neighborhood_hit
projnn,0.125,0.979,0.982,0.964,0.566,0.753,0.149,0.753,0.027,0.031,0.606,0.923,0.678,0.988,0.107,0.679,0.247,0.97,isomap,fashionmnist,21,neighborhood_hit
truenn,0.174,0.984,0.956,0.975,0.601,0.823,0.102,0.823,0.066,0.021,0.557,0.943,0.733,0.994,0.102,0.748,0.177,0.935,isomap,fashionmnist,21,neighborhood_hit
rescaled,0.265,0.947,0.983,0.939,0.474,0.826,0.104,0.826,0.03,0.057,0.798,0.956,0.447,0.955,0.525,0.63,0.174,0.969,tsne,usps,7,neighborhood_hit
magnetic,0.258,0.676,0.627,0.65,0.229,0.99,0.006,0.99,0.397,0.346,0.201,0.945,0.29,0.957,0.287,0.296,0.01,0.604,tsne,usps,7,neighborhood_hit
magnetic_on_rescale,0.267,0.812,0.741,0.795,0.337,0.971,0.017,0.971,0.28,0.201,0.333,0.957,0.422,0.96,0.482,0.552,0.029,0.718,tsne,usps,7,neighborhood_hit
delaunay,0.249,0.911,0.85,0.901,0.489,0.963,0.021,0.963,0.19,0.096,0.543,0.934,0.436,0.977,0.345,0.496,0.037,0.81,tsne,usps,7,neighborhood_hit
projnn,0.15,0.957,0.978,0.95,0.617,0.853,0.087,0.853,0.037,0.047,0.785,0.868,0.548,0.981,0.138,0.523,0.147,0.961,tsne,usps,7,neighborhood_hit
truenn,0.186,0.979,0.912,0.976,0.673,0.92,0.046,0.92,0.135,0.024,0.667,0.892,0.482,0.994,0.159,0.453,0.08,0.865,tsne,usps,7,neighborhood_hit
rescaled,0.421,0.939,0.939,0.869,0.538,0.705,0.184,0.705,0.075,0.101,0.625,0.984,0.042,0.999,0.655,0.034,0.295,0.91,tsne,mnist,51,neighborhood_hit
magnetic,0.421,0.829,0.681,0.735,0.379,0.926,0.043,0.926,0.359,0.248,0.304,0.983,0.045,0.999,0.588,0.019,0.074,0.643,tsne,mnist,51,neighborhood_hit
magnetic_on_rescale,0.421,0.833,0.686,0.74,0.383,0.924,0.044,0.924,0.354,0.242,0.31,0.983,0.045,0.999,0.592,0.02,0.076,0.648,tsne,mnist,51,neighborhood_hit
delaunay,0.383,0.931,0.858,0.882,0.47,0.833,0.095,0.833,0.177,0.099,0.477,0.953,0.36,0.996,0.203,0.371,0.167,0.82,tsne,mnist,51,neighborhood_hit
projnn,0.297,0.937,0.896,0.889,0.489,0.783,0.128,0.783,0.103,0.091,0.549,0.923,0.358,0.99,0.166,0.33,0.217,0.86,tsne,mnist,51,neighborhood_hit
truenn,0.381,0.957,0.834,0.917,0.513,0.837,0.094,0.837,0.207,0.059,0.474,0.952,0.428,0.996,0.174,0.428,0.163,0.792,tsne,mnist,51,neighborhood_hit
rescaled,0.126,0.924,0.959,0.905,0.637,0.734,0.2,0.734,0.107,0.082,0.767,0.557,0.157,0.894,0.54,0.233,0.266,0.884,umap,spambase,7,neighborhood_hit
magnetic,0.116,0.885,0.9,0.857,0.638,0.903,0.073,0.903,0.27,0.129,0.711,0.525,0.165,0.917,0.523,0.234,0.097,0.725,umap,spambase,7,neighborhood_hit
magnetic_on_rescale,0.116,0.886,0.902,0.859,0.639,0.901,0.074,0.901,0.267,0.127,0.716,0.526,0.165,0.916,0.524,0.235,0.099,0.727,umap,spambase,7,neighborhood_hit
delaunay,0.099,0.917,0.925,0.896,0.684,0.932,0.041,0.932,0.237,0.091,0.729,0.471,0.139,0.983,0.47,0.197,0.068,0.762,umap,spambase,7,neighborhood_hit
projnn,0.13,0.93,0.95,0.911,0.726,0.834,0.109,0.834,0.133,0.077,0.754,0.333,0.194,0.92,0.332,0.237,0.166,0.858,umap,spambase,7,neighborhood_hit
truenn,0.101,0.96,0.915,0.95,0.76,0.871,0.084,0.871,0.226,0.045,0.74,0.367,0.201,0.947,0.353,0.245,0.129,0.762,umap,spambase,7,neighborhood_hit
rescaled,0.298,0.963,0.988,0.957,0.569,0.901,0.099,0.901,0.021,0.043,0.775,0.911,0.52,0.0,0.151,0.503,0.099,0.979,isomap,mnist,1,neighborhood_hit
magnetic,0.312,0.959,0.965,0.953,0.562,0.974,0.026,0.974,0.057,0.047,0.658,0.918,0.518,0.0,0.152,0.504,0.026,0.943,isomap,mnist,1,neighborhood_hit
magnetic_on_rescale,0.312,0.959,0.965,0.953,0.562,0.974,0.026,0.974,0.057,0.047,0.657,0.918,0.518,0.0,0.152,0.504,0.026,0.943,isomap,mnist,1,neighborhood_hit
delaunay,0.227,0.959,0.986,0.952,0.492,0.915,0.085,0.915,0.024,0.048,0.761,0.9,0.449,0.0,0.147,0.423,0.085,0.976,isomap,mnist,1,neighborhood_hit
projnn,0.221,0.961,0.987,0.954,0.49,0.914,0.086,0.914,0.023,0.046,0.772,0.901,0.465,0.0,0.145,0.439,0.086,0.977,isomap,mnist,1,neighborhood_hit
truenn,0.288,0.977,0.881,0.974,0.552,0.986,0.014,0.986,0.155,0.026,0.561,0.924,0.518,0.0,0.156,0.507,0.014,0.845,isomap,mnist,1,neighborhood_hit
rescaled,0.131,0.987,0.991,0.978,0.64,0.752,0.155,0.752,0.017,0.02,0.672,0.915,0.703,0.992,0.106,0.698,0.248,0.984,umap,fashionmnist,7,neighborhood_hit
magnetic,0.142,0.983,0.98,0.974,0.63,0.885,0.067,0.885,0.035,0.025,0.614,0.922,0.701,0.992,0.107,0.698,0.115,0.966,umap,fashionmnist,7,neighborhood_hit
magnetic_on_rescale,0.142,0.983,0.98,0.974,0.63,0.885,0.067,0.885,0.035,0.025,0.614,0.922,0.701,0.992,0.107,0.698,0.115,0.966,umap,fashionmnist,7,neighborhood_hit
delaunay,0.122,0.985,0.989,0.976,0.588,0.777,0.137,0.777,0.019,0.022,0.656,0.907,0.685,0.99,0.102,0.68,0.223,0.98,umap,fashionmnist,7,neighborhood_hit
projnn,0.125,0.986,0.989,0.978,0.604,0.78,0.135,0.78,0.019,0.02,0.664,0.908,0.696,0.991,0.099,0.689,0.22,0.981,umap,fashionmnist,7,neighborhood_hit
truenn,0.122,0.991,0.966,0.987,0.646,0.883,0.068,0.883,0.051,0.013,0.599,0.917,0.729,0.996,0.1,0.726,0.117,0.949,umap,fashionmnist,7,neighborhood_hit
rescaled,0.27,0.946,0.979,0.935,0.551,0.839,0.096,0.839,0.036,0.06,0.798,0.958,0.457,0.963,0.547,0.553,0.161,0.961,isomap,usps,7,neighborhood_hit
magnetic,0.272,0.666,0.62,0.64,0.243,0.991,0.005,0.991,0.404,0.357,0.202,0.959,0.319,0.969,0.402,0.298,0.009,0.598,isomap,usps,7,neighborhood_hit
magnetic_on_rescale,0.271,0.808,0.729,0.79,0.38,0.98,0.011,0.98,0.299,0.207,0.32,0.959,0.441,0.966,0.489,0.501,0.02,0.702,isomap,usps,7,neighborhood_hit
delaunay,0.244,0.925,0.874,0.914,0.605,0.958,0.023,0.958,0.172,0.083,0.594,0.933,0.473,0.985,0.289,0.467,0.042,0.827,isomap,usps,7,neighborhood_hit
projnn,0.152,0.95,0.971,0.941,0.655,0.883,0.068,0.883,0.047,0.055,0.771,0.88,0.545,0.977,0.141,0.515,0.117,0.949,isomap,usps,7,neighborhood_hit
truenn,0.169,0.977,0.908,0.974,0.695,0.927,0.041,0.927,0.135,0.025,0.668,0.892,0.512,0.991,0.156,0.481,0.073,0.864,isomap,usps,7,neighborhood_hit
rescaled,0.055,0.973,0.99,0.958,0.762,0.606,0.26,0.606,0.025,0.032,0.813,0.842,0.771,0.99,0.093,0.784,0.394,0.971,isomap,har,51,neighborhood_hit
magnetic,0.054,0.967,0.977,0.951,0.755,0.73,0.165,0.73,0.054,0.04,0.754,0.854,0.77,0.992,0.092,0.782,0.27,0.947,isomap,har,51,neighborhood_hit
magnetic_on_rescale,0.054,0.967,0.977,0.951,0.754,0.729,0.165,0.729,0.054,0.04,0.754,0.854,0.771,0.992,0.092,0.782,0.271,0.947,isomap,har,51,neighborhood_hit
delaunay,0.109,0.965,0.979,0.945,0.72,0.66,0.214,0.66,0.036,0.041,0.78,0.821,0.679,0.987,0.102,0.694,0.34,0.955,isomap,har,51,neighborhood_hit
projnn,0.1,0.967,0.981,0.947,0.727,0.648,0.225,0.648,0.032,0.039,0.784,0.824,0.678,0.987,0.102,0.695,0.352,0.959,isomap,har,51,neighborhood_hit
truenn,0.053,0.977,0.976,0.964,0.802,0.696,0.191,0.696,0.056,0.025,0.765,0.845,0.78,0.994,0.082,0.799,0.304,0.943,isomap,har,51,neighborhood_hit
rescaled,0.153,0.978,0.989,0.964,0.836,0.639,0.232,0.639,0.021,0.031,0.844,0.829,0.527,0.989,0.145,0.483,0.361,0.975,tsne,usps,21,neighborhood_hit
magnetic,0.159,0.972,0.979,0.958,0.821,0.785,0.127,0.785,0.043,0.038,0.8,0.843,0.524,0.99,0.144,0.484,0.215,0.956,tsne,usps,21,neighborhood_hit
magnetic_on_rescale,0.159,0.972,0.979,0.958,0.821,0.784,0.127,0.784,0.043,0.038,0.801,0.843,0.524,0.99,0.144,0.484,0.216,0.956,tsne,usps,21,neighborhood_hit
delaunay,0.15,0.971,0.977,0.957,0.788,0.708,0.179,0.708,0.038,0.038,0.803,0.822,0.486,0.986,0.139,0.447,0.292,0.957,tsne,usps,21,neighborhood_hit
projnn,0.148,0.973,0.981,0.959,0.803,0.695,0.188,0.695,0.03,0.036,0.817,0.825,0.496,0.987,0.138,0.459,0.305,0.964,tsne,usps,21,neighborhood_hit
truenn,0.157,0.98,0.941,0.969,0.828,0.824,0.102,0.824,0.112,0.024,0.794,0.859,0.491,0.991,0.153,0.458,0.176,0.888,tsne,usps,21,neighborhood_hit
rescaled,0.248,0.94,0.971,0.922,0.539,0.714,0.176,0.714,0.039,0.068,0.794,0.886,0.154,0.96,0.467,0.167,0.286,0.952,mds,usps,21,neighborhood_hit
magnetic,0.231,0.836,0.761,0.813,0.402,0.95,0.027,0.95,0.282,0.177,0.398,0.891,0.158,0.974,0.427,0.161,0.05,0.718,mds,usps,21,neighborhood_hit
magnetic_on_rescale,0.233,0.887,0.843,0.866,0.475,0.925,0.042,0.925,0.199,0.125,0.505,0.895,0.157,0.975,0.453,0.168,0.075,0.798,mds,usps,21,neighborhood_hit
delaunay,0.212,0.937,0.921,0.92,0.567,0.873,0.072,0.873,0.118,0.071,0.68,0.885,0.275,0.983,0.308,0.304,0.127,0.881,mds,usps,21,neighborhood_hit
projnn,0.162,0.951,0.958,0.937,0.647,0.773,0.135,0.773,0.056,0.055,0.74,0.842,0.442,0.979,0.161,0.415,0.227,0.935,mds,usps,21,neighborhood_hit
truenn,0.182,0.967,0.889,0.955,0.683,0.857,0.082,0.857,0.148,0.036,0.656,0.883,0.366,0.988,0.207,0.348,0.143,0.849,mds,usps,21,neighborhood_hit
rescaled,0.103,0.983,0.994,0.982,0.754,0.927,0.073,0.927,0.025,0.018,0.874,0.802,0.703,,0.119,0.713,0.073,0.975,mds,har,1,neighborhood_hit
magnetic,0.086,0.971,0.98,0.97,0.742,0.981,0.019,0.981,0.057,0.03,0.768,0.818,0.703,0.0,0.117,0.713,0.019,0.943,mds,har,1,neighborhood_hit
magnetic_on_rescale,0.086,0.971,0.98,0.97,0.743,0.981,0.019,0.981,0.056,0.03,0.768,0.818,0.703,0.0,0.117,0.713,0.019,0.944,mds,har,1,neighborhood_hit
delaunay,0.101,0.978,0.983,0.977,0.751,0.977,0.023,0.977,0.051,0.023,0.805,0.832,0.688,0.0,0.113,0.704,0.023,0.949,mds,har,1,neighborhood_hit
projnn,0.12,0.98,0.991,0.979,0.745,0.948,0.052,0.948,0.029,0.021,0.862,0.807,0.67,0.0,0.106,0.683,0.052,0.971,mds,har,1,neighborhood_hit
truenn,0.099,0.985,0.978,0.985,0.742,0.969,0.031,0.969,0.056,0.015,0.816,0.824,0.74,0.0,0.096,0.746,0.031,0.944,mds,har,1,neighborhood_hit
rescaled,0.131,0.983,0.988,0.971,0.553,0.657,0.218,0.657,0.019,0.025,0.647,0.912,0.68,0.984,0.132,0.659,0.343,0.979,tsne,fashionmnist,21,neighborhood_hit
magnetic,0.136,0.977,0.97,0.963,0.55,0.805,0.114,0.805,0.045,0.033,0.563,0.919,0.68,0.989,0.13,0.66,0.195,0.954,tsne,fashionmnist,21,neighborhood_hit
magnetic_on_rescale,0.136,0.977,0.97,0.963,0.55,0.805,0.115,0.805,0.045,0.033,0.564,0.919,0.68,0.988,0.13,0.66,0.195,0.954,tsne,fashionmnist,21,neighborhood_hit
delaunay,0.126,0.981,0.978,0.969,0.622,0.76,0.143,0.76,0.037,0.028,0.614,0.917,0.683,0.992,0.108,0.669,0.24,0.961,tsne,fashionmnist,21,neighborhood_hit
projnn,0.132,0.982,0.984,0.97,0.611,0.692,0.191,0.692,0.025,0.027,0.639,0.906,0.673,0.99,0.106,0.658,0.308,0.972,tsne,fashionmnist,21,neighborhood_hit
truenn,0.133,0.989,0.968,0.98,0.624,0.78,0.13,0.78,0.05,0.017,0.6,0.918,0.709,0.994,0.117,0.696,0.22,0.951,tsne,fashionmnist,21,neighborhood_hit
rescaled,0.112,0.654,0.807,0.576,0.655,0.974,0.016,0.974,0.357,0.414,0.522,0.91,0.087,0.966,0.842,0.062,0.026,0.609,isomap,spambase,21,neighborhood_hit
magnetic,0.107,0.659,0.78,0.574,0.655,0.981,0.01,0.981,0.398,0.405,0.537,0.873,0.084,0.967,0.829,-0.04,0.019,0.56,isomap,spambase,21,neighborhood_hit
magnetic_on_rescale,0.108,0.659,0.78,0.574,0.655,0.981,0.01,0.981,0.397,0.404,0.536,0.884,0.085,0.967,0.835,-0.043,0.019,0.562,isomap,spambase,21,neighborhood_hit
delaunay,0.116,0.638,0.768,0.556,0.651,0.991,0.005,0.991,0.474,0.44,0.548,0.787,0.083,0.966,0.77,0.066,0.009,0.525,isomap,spambase,21,neighborhood_hit
projnn,0.138,0.638,0.769,0.557,0.566,0.988,0.007,0.988,0.471,0.44,0.546,0.387,0.058,4.274,0.387,0.067,0.012,0.531,isomap,spambase,21,neighborhood_hit
truenn,0.059,0.733,0.801,0.674,0.677,0.971,0.016,0.971,0.441,0.288,0.593,0.485,0.11,3.342,0.39,0.089,0.029,0.56,isomap,spambase,21,neighborhood_hit
rescaled,0.27,0.949,0.976,0.92,0.569,0.648,0.221,0.648,0.039,0.064,0.781,0.955,0.358,0.958,0.41,0.418,0.352,0.952,umap,usps,51,neighborhood_hit
magnetic,0.26,0.684,0.591,0.622,0.253,0.972,0.015,0.972,0.431,0.368,0.168,0.949,0.169,0.99,0.265,0.157,0.028,0.569,umap,usps,51,neighborhood_hit
magnetic_on_rescale,0.271,0.88,0.795,0.842,0.471,0.893,0.062,0.893,0.237,0.147,0.418,0.958,0.346,0.982,0.388,0.403,0.107,0.765,umap,usps,51,neighborhood_hit
delaunay,0.206,0.941,0.915,0.915,0.632,0.777,0.131,0.777,0.111,0.072,0.62,0.901,0.47,0.982,0.16,0.464,0.223,0.884,umap,usps,51,neighborhood_hit
projnn,0.143,0.942,0.949,0.915,0.611,0.701,0.186,0.701,0.056,0.07,0.695,0.865,0.5,0.974,0.142,0.476,0.299,0.923,umap,usps,51,neighborhood_hit
truenn,0.167,0.969,0.899,0.947,0.7,0.766,0.14,0.766,0.135,0.038,0.662,0.884,0.472,0.988,0.166,0.449,0.234,0.862,umap,usps,51,neighborhood_hit
